,Name,Continent,Country,Min_Altitude,Max_Altitude,Total_ski_routes,Easy,Intermediate,Difficult,Aditional_Routes,Lifts,Adults,Current_season_start,Current_season_finish,General_season_start,General_season_finish,Opening_time,Closing_time
47,Katschberg,Europe, Austria,1066,2220,70.0,10.0,50.0,10.0,2.0,16.0,51.0, 2021-12-03,2022-04-03, early December,early April, 09:00,16:00
48,Damüls Mellau,Europe, Austria,710,2050,80.6,29.9,48.8,1.9,17.7,20.0,55.5,,, early December,early April, 09:00,16:00
49,Passo San Pellegrino/Falcade,Europe, Italia,1190,2513,67.5,20.5,38.5,8.5,1.5,15.0,52.0, 2021-12-04,2022-04-09, late November,mid April, 08:30,16:30
50,Trysil,Europe, Norway,415,1100,71.0,33.0,18.0,20.0,,31.0,54.0, 2021-11-20,2022-04-18, depending on snow conditions,mid April, 09:00,15:30
51,Parsenn (Davos Klosters),Europe, Switzerland,810,2844,95.5,17.3,60.5,17.7,6.3,18.0,67.0, 2021-11-19,2022-04-24, early November,mid April, 08:15,16:00
52,Baqueira/Beret,Europe, España,1500,2610,160.0,80.0,60.0,20.0,5.0,29.0,54.5, 2021-11-27,2022-04-18, early December,late April, 08:45,16:45
53,Alpe d'Huez,Europe, Danmark,1125,3330,250.0,70.0,130.0,50.0,,62.0,55.0, 2021-12-04,2022-04-24, early December,early April, 08:30,17:00
54,Nassfeld   Hermagor,Europe, Austria,600,2002,110.0,30.0,69.0,11.0,,30.0,51.0, 2021-12-03,2022-04-18, early December,mid April, 08:30,16:15
55,Großarltal/Dorfgastein,Europe, Austria,849,2033,63.2,27.8,34.0,1.4,9.7,17.0,57.5, 2021-12-04,2022-04-18, late December,mid April, 08:30,15:00
56,Megève/Saint Gervais,Europe, France,850,2353,263.0,98.0,134.0,31.0,,81.0,50.5, 2021-11-27,2022-04-18, mid December,mid April, 08:30,17:10
57,Hemsedal,Europe, Norway,620,1450,44.1,29.2,10.8,4.1,1.7,19.0,54.0, 2021-11-20,2022-05-01, early November,early April, 09:00,16:30
58,Alpe Lusia   Moena/Bellamonte,Europe, Italia,1367,2340,27.5,12.9,10.6,4.0,,8.0,52.0, 2021-12-03,2022-04-18, early December,early May, 08:30,16:30
59,Åre,Europe, Sweeden,380,1274,91.0,45.0,38.0,8.0,,31.0,58.0, 2021-11-20,2022-05-01, mid November,mid April, 08:00,16:30
60,Galtür   Silvapark,Europe, Austria,1600,2300,43.0,6.0,25.0,12.0,6.0,10.0,44.5, 2021-12-10,2022-04-22, early December,early April, 08:45,16:00
61,Hochzeiger   Jerzens,Europe, Austria,1450,2450,40.0,10.0,22.0,8.0,8.0,9.0,47.0, 2021-12-03,2022-04-23, early December,mid April, 08:45,16:30
62,Formigal,Europe, España,1501,2251,137.0,47.0,70.0,20.0,,15.0,49.5, 2021-11-27,2022-04-18, late November,late April, 09:00,17:00
63,Hafjell,Europe, Norway,195,1059,44.0,33.0,7.0,4.0,,15.0,52.0, 2021-11-20,2022-04-24, early November,early May, 09:00,16:30
64,Cortina d'Ampezzo,Europe, Italia,1217,2828,120.0,45.0,59.0,16.0,,27.0,48.0, 2021-11-27,2022-04-18, late November,early April, 08:30,16:30
65,Saas Fee,Europe, Switzerland,1800,3573,100.0,20.0,60.0,20.0,5.0,23.0,69.0, 2021-07-17,2022-04-24, mid July,late April, 08:30,16:00
66,Plose   Brixen (Bressanone),Europe, Italia,1067,2505,42.5,19.5,9.5,13.5,,7.0,52.0, 2021-12-04,2022-04-18, early December,late March, 08:45,16:30
67,First   Grindelwald,Europe, Switzerland,1050,2500,49.0,30.0,11.0,8.0,4.0,10.0,64.0, 2021-12-11,2022-04-18, early December,late April, 08:30,16:15
68,Ruka,Europe, Finland,291,492,18.9,9.1,7.0,2.8,,16.0,46.5, 2021-10-08,2022-05-08, early October,early April, 09:30,19:00
69,Ylläs,Europe, Finland,200,718,55.0,21.0,28.0,6.0,,26.0,47.0, 2021-11-20,2022-05-01, late November,early May, 09:30,17:00
70,Hinterstoder   Höss,Europe, Austria,600,2000,39.9,12.0,18.0,9.9,,14.0,51.0, 2021-12-03,2022-04-10, early December,early May, 08:30,16:30
71,of Hemavan,Europe, Sweeden,470,1135,30.0,19.0,9.0,2.0,,10.0,42.0, 2021-11-20,2022-05-01, early November,early April, 09:00,17:00
72,Kvitfjell,Europe, Norway,178,1032,39.0,21.5,12.5,5.0,,11.0,48.0, 2021-11-06,2022-04-24, late October,early April, 09:30,16:00
73,Kreischberg,Europe, Deutschland,868,2118,42.5,17.5,16.0,9.0,,13.0,52.0, 2021-12-04,2022-04-03, early December,late April, 08:30,16:00
74,Kühtai,Europe, Austria,1938,2520,46.9,9.3,26.8,10.8,,12.0,44.0,,, late November,mid April, 09:00,16:00
75,Idre Fjäll,Europe, Sweeden,588,890,41.0,17.0,22.0,2.0,,22.0,43.0, 2021-10-22,2022-04-24, late October,late April, 09:00,16:30
76,Espace Lumière   Pra Loup/Val d’Allos,Europe, France,1608,2576,180.0,56.0,93.5,30.5,,31.0,41.0, 2021-12-04,2022-04-18, mid December,mid April, 09:00,17:00
77,Pitztal Glacier (Pitztaler Gletscher),Europe, Austria,2685,3440,21.0,4.0,16.0,1.0,,6.0,53.0, 2021-09-18,2022-05-08, mid September,mid April, 08:30,16:00
78,Bansko,Europe, Bulgaria,990,2560,48.2,20.0,24.5,3.7,8.1,14.0,36.0, 2021-12-03,2022-04-18, early December,mid April, 08:30,17:00
79,Ehrwalder Alm   Ehrwald,Europe, Austria,1112,1923,27.5,18.1,7.4,2.0,,7.0,52.0, 2021-12-17,2022-04-18, mid December,early May, 08:00,16:30
80,Alpe Cermis   Cavalese,Europe, Italia,860,2250,24.0,10.0,9.0,5.0,,7.0,52.0, 2021-12-03,2022-04-18, late November,early May, 08:15,16:30
81,Hoch Ybrig   Unteriberg/Oberiberg,Europe, Switzerland,1040,1831,50.0,15.0,30.0,5.0,5.0,12.0,51.0, 2021-12-11,2022-04-18, early December,late April, 08:30,16:15
82,Myrkdalen,Europe, Norway,450,1060,29.0,12.5,12.0,4.5,,8.0,47.0, 2021-11-20,2022-05-01, mid November,late April, 09:30,16:00
83,Riesneralm   Donnersbachwald,Europe, Austria,973,1820,32.5,20.5,9.0,3.0,,7.0,44.0,,, early December,early April, 09:00,16:00
84,Brandnertal   Brand/Bürserberg,Europe, Austria,904,2000,52.0,23.0,28.0,1.0,13.0,14.0,53.0, 2021-12-04,2022-04-18, depending on snow conditions,late March, 08:30,16:30
85,Bad Kleinkirchheim,Europe, Austria,1087,2055,103.0,18.0,77.0,8.0,5.0,22.0,52.5, 2021-12-03,2022-04-03, early December,early April, 09:00,16:00
86,Brigels/Waltensburg/Andiast,Europe, Switzerland,1102,2418,40.0,11.0,26.0,3.0,,10.0,55.0, 2021-12-11,2022-04-03, mid December,early May, 08:30,16:00
87,Meiringen Hasliberg,Europe, Switzerland,1055,2433,60.0,20.0,34.0,6.0,,13.0,54.0, 2021-12-11,2022-04-18, mid December,early April, 08:30,16:15
88,La Clusaz/Manigod,Europe, France,1050,2485,125.0,67.0,42.0,16.0,,49.0,43.0, 2021-11-27,2022-04-24, mid December,mid April, 09:00,16:15
89,Grimentz/Zinal,Europe, Switzerland,1570,2900,115.0,26.5,58.6,29.9,,20.0,62.0, 2021-11-20,2022-04-24, mid November,early April, 09:00,16:30
90,Filzmoos,Europe, Austria,970,1591,20.0,9.0,10.0,1.0,,8.0,52.0, 2021-12-04,2022-04-10, early December,early April, 09:00,16:00
91,Ifen,Europe, Austria,1270,2030,22.6,12.0,6.9,3.7,1.2,4.0,52.5, 2021-12-17,2022-04-24, mid December,mid April, 08:30,16:00
92,Christlum   Achenkirch,Europe, Austria,950,1800,27.0,6.0,16.0,5.0,,11.0,49.0, 2021-12-03,2022-04-03, mid December,early May, 08:45,16:00
93,Loser   Altaussee,Europe, Austria,850,1800,34.0,21.0,12.0,1.0,,8.0,45.0, 2021-12-04,2022-04-18, early December,mid April, 09:00,16:00
94,Pyhä,Europe, Finland,220,500,11.4,5.0,4.4,2.0,,8.0,46.5, 2021-11-19,2022-05-01, mid November,early May, 09:30,18:00Limited opening times during the week
95,Golm,Europe, Deutschland,650,2100,26.7,13.3,11.9,1.5,17.9,9.0,51.5,,, early December,mid April, 08:15,16:00
96,Val Senales Glacier (Schnalstaler Gletscher),Europe, Italia,2011,3212,42.0,10.0,18.0,14.0,,11.0,48.0, 2021-09-17,2022-04-18, mid September,mid April, 09:00,16:30
97,Spieljoch   Fügen,Europe, Austria,650,2054,17.1,3.6,10.8,2.7,4.0,7.0,61.0, 2021-12-17,2022-04-03, early December,early May, 08:30,16:30
98,Sierra Nevada   Pradollano,Europe, España,2100,3282,107.0,50.0,49.0,7.8,,17.0,52.0, 2021-12-04,2022-04-18, late November,early May, 09:00,16:45
99,Sudelfeld   Bayrischzell,Europe, Deutschland,850,1563,31.1,9.8,16.6,4.7,1.9,12.0,42.0,,, depending on snow conditions,mid April, 08:30,16:30
100,Diedamskopf   Schoppernau,Europe, Austria,820,2060,40.0,13.0,18.0,9.0,,9.0,48.0,,, mid December,mid April, 08:45,16:15
101,Gargellen,Europe, Austria,1423,2300,28.1,20.8,5.3,2.0,5.5,8.0,51.0, 2021-12-03,2022-04-18, early December,early April, 08:30,16:00
102,Bergeralm   Steinach am Brenner,Europe, Austria,1048,2180,29.0,10.0,10.0,9.0,1.0,5.0,42.4, 2021-12-04,2022-04-18, mid December,early May, 08:30,16:30
103,Madrisa (Davos Klosters),Europe, Switzerland,1142,2602,26.0,6.9,9.9,9.2,6.0,7.0,57.0, 2021-12-17,2022-04-18, mid December,mid April, 08:15,16:00
104,Hovden,Europe, Sweeden,822,1183,34.4,19.1,13.2,2.1,,8.0,54.0, 2021-11-20,2022-05-01, mid November,early April, 09:30,15:30
105,Grosseck/Speiereck   Mauterndorf/St. Michael,Europe, Austria,1095,2400,50.0,26.0,17.0,7.0,,10.0,45.0, 2021-12-03,2022-04-18, early December,mid April, 09:00,16:30
106,Oberjoch (Bad Hindelang)   Iseler,Europe, Deutschland,1130,1559,32.0,6.0,24.0,2.0,6.0,5.0,42.0, 2021-12-04,2022-04-03, mid December,mid April, 08:30,16:15
107,Crans Montana,Europe, Switzerland,1510,2927,140.0,55.0,70.0,15.0,,19.0,82.0, 2021-11-13,2022-04-24, mid November,mid April, 08:45,16:15
108,See,Europe, Austria,1040,2456,41.0,8.0,25.0,8.0,,7.0,44.0, 2021-12-18,2022-04-18, mid December,early April, 08:30,16:00
109,Disentis,Europe, Switzerland,1227,2833,60.0,20.0,30.0,10.0,,12.0,57.0, 2021-12-11,2022-04-18, mid December,late March, 08:15,16:00
110,Meran 2000,Europe, Italia,1609,2350,40.0,12.0,25.0,3.0,,7.0,46.0, 2021-12-04,2022-03-20, early December,mid April, 09:00,17:00
111,Kappl,Europe, Austria,1180,2690,40.0,10.0,25.0,5.0,2.0,6.0,44.0, 2021-12-24,2022-04-18, mid December,early April, 08:30,16:00
112,Lachtal,Europe, Austria,1600,2222,26.2,7.2,16.0,3.0,10.0,10.0,47.0, 2021-12-04,2022-04-18, early December,mid April, 09:00,16:00
113,Hörnerbahn   Bolsterlang,Europe, Deutschland,894,1665,17.0,8.0,7.0,2.0,3.0,5.0,43.0, 2021-11-27,2022-04-18, late November,mid April, 08:30,16:00
114,Isola 2000,Europe, France,1800,2603,120.0,75.0,35.0,10.0,,20.0,35.0, 2021-12-04,2022-04-18, early December,early April, 09:00,17:00
115,Brévent/Flégère (Chamonix),Europe, France,1030,2525,56.0,11.0,25.0,20.0,,17.0,57.0, 2021-11-27,2022-04-24, early December,mid May, 08:50,16:30
116,Gerlitzen,Europe, Austria,1000,1911,45.1,9.1,30.0,6.0,15.0,20.0,52.0, 2021-12-03,2022-04-03, early December,early April, 08:15,17:00
117,Schwemmalm,Europe, Austria,1505,2625,20.5,6.3,11.7,2.5,5.0,6.0,43.5, 2021-12-04,2022-04-18, mid December,mid April, 08:30,17:00
118,Pal/Arinsal   La Massana (Vallnord),Europe, Andorra,1550,2560,63.0,31.0,24.0,8.0,,23.0,42.0, 2021-12-04,2022-04-18, early December,mid April, 09:00,17:00
119,Les Orres,Europe, France,1550,2720,100.0,30.0,60.0,10.0,,17.0,38.0, 2021-12-04,2022-04-18, mid December,early April, 09:00,16:30
120,Skeikampen   Gausdal,Europe, Norway,774,1123,21.0,8.0,11.0,2.0,,9.0,40.0, 2021-11-27,2022-04-18, mid November,early April, 09:30,16:00
121,of Hochficht,Europe, Austria,866,1338,20.1,9.1,10.0,1.0,3.0,9.0,42.0, 2021-12-03,2022-03-27, mid December,early April, 08:30,16:00
122,Grossglockner Heiligenblut,Europe, Austria,1301,2989,55.0,20.0,34.0,1.0,11.5,12.0,48.0, 2021-12-10,2022-04-03, early December,late April, 09:00,16:00
123,Zettersfeld   Lienz,Europe, Austria,1660,2278,21.0,7.9,11.5,1.6,2.7,6.0,52.0, 2021-12-08,2022-03-27, early December,mid April, 09:00,16:00
124,Bardonecchia,Europe, Italia,1312,2800,100.0,54.0,38.0,8.0,,17.0,38.0, 2021-11-27,2022-04-18, early December,mid April, 09:00,17:00
125,Chamrousse,Europe, France,1400,2250,90.0,45.0,35.0,10.0,,15.0,36.5, 2021-12-03,2022-04-18, early December,early April, 09:00,17:00
126,Orcières Merlette 1850,Europe, France,1850,2725,100.0,55.0,38.0,7.0,,28.0,37.0, 2021-12-04,2022-04-24, mid December,late April, 09:00,16:30
127,Cerler,Europe, España,1505,2630,81.0,37.0,29.0,15.0,,13.0,46.5, 2021-12-04,2022-04-18, early December,mid April, 09:00,16:30
128,Pfelders (Moos in Passeier),Europe, Italia,1601,2502,18.0,5.0,9.0,4.0,3.0,4.0,40.0, 2021-12-04,2022-04-24, early December,early April, 09:00,16:30
129,Savognin,Europe, Switzerland,1200,2713,73.5,32.5,38.0,3.0,,12.0,56.0, 2021-12-18,2022-04-03, early December,early April, 08:30,16:00
130,Grüsch Danusa,Europe, Switzerland,600,1800,32.0,6.0,20.0,6.0,,6.0,51.0, 2021-12-04,2022-04-03, late November,mid April, 08:30,16:45
131,Rosa Khutor,Europe, Russia,940,2509,102.0,62.0,24.0,16.0,,27.0,38.0, 2021-12-11,2022-04-18, early December,late May, 08:45,15:45
132,Auron (Saint Etienne de Tinée),Europe, France,1600,2450,135.0,58.0,45.0,32.0,,16.0,35.0, 2021-12-11,2022-03-20, early December,late March, 09:00,17:00
133,Gemsstock   Andermatt,Europe, Switzerland,1444,2961,31.0,0.0,14.0,17.0,6.0,4.0,82.0, 2021-10-30,2022-05-01, late October,early May, 08:30,16:00
134,Rosshütte   Seefeld,Europe, Austria,1230,2064,12.3,6.3,4.1,1.9,,14.0,48.0,,, early December,late March, 08:30,16:30
135,Saint Lary Soulan,Europe, France,1597,2515,100.0,60.0,30.0,10.0,,26.0,45.0, 2021-12-03,2022-04-03, early December,early March, 09:00,17:30
136,Vent,Europe, Austria,1900,2646,15.0,5.0,10.0,0.0,,4.0,39.5, 2021-12-18,2022-04-18, late February,early April, 09:30,16:00
137,Splügen   Tambo,Europe, Switzerland,1484,2215,30.0,12.0,12.0,6.0,,7.0,48.0, 2021-12-04,2022-03-27, early December,mid April, 08:30,16:00
138,Malbun,Europe, Liechtenstein,1600,2000,23.0,11.0,9.0,3.0,,7.0,45.0, 2021-12-11,2022-04-18, mid December,early May, 08:30,16:00
139,Grands Montets   Argentière (Chamonix),Europe, France,1252,2765,29.0,6.0,9.0,14.0,,8.0,57.0, 2021-11-20,2022-05-01, depending on snow conditions,late March, 08:30,16:40
140,Ordino Arcalís,Europe, Andorra,1940,2625,30.0,13.0,14.0,3.0,,15.0,39.5, 2021-12-04,2022-04-18, depending on snow conditions,late April, 09:00,16:45
141,Garmisch Classic   Garmisch Partenkirchen,Europe, Deutschland,740,2050,40.0,12.0,18.0,10.0,3.0,18.0,47.5, 2021-12-11,2022-04-03, early December,late April, 08:30,16:15
142,Venet   Landeck/Zams/Fliess,Europe, Austria,780,2212,22.0,6.0,15.0,1.0,2.0,7.0,40.5, 2021-12-18,2022-03-27, mid December,early April, 09:00,16:20
143,Bellwald,Europe, Switzerland,1600,2558,36.0,9.0,21.0,6.0,3.0,5.0,51.0, 2021-12-11,2022-04-18, mid December,late April, 09:00,16:15
144,Ax 3 Domaines   Ax les Thermes,Europe, France,1380,2346,80.0,40.0,25.0,15.0,,19.0,38.5, 2021-12-04,2022-04-24, mid December,mid April, 09:00,17:00
145,Le Grand Bornand,Europe, France,1000,2100,86.0,49.0,29.0,8.0,,24.0,39.3, 2021-12-04,2022-04-24, early December,late April, 09:00,17:00
146,Villars/Gryon/Les Diablerets,Europe, Switzerland,1224,2120,84.0,43.0,38.0,3.0,,25.0,65.0, 2021-12-04,2022-04-18, early December,mid April, 08:30,16:30
147,Puy Saint Vincent,Europe, France,1407,2677,75.0,28.0,34.0,13.0,,12.0,35.5, 2021-12-18,2022-04-18, mid December,mid April, 09:00,16:00
148,Valfréjus,Europe, France,1550,2737,70.0,40.0,20.0,10.0,,8.0,33.0, 2021-12-04,2022-04-18, mid December,mid April, 09:00,16:00
149,Spitzingsee Tegernsee,Europe, Deutschland,980,1580,14.7,2.2,8.2,4.3,,10.0,37.0,,, early December,late April, 08:30,16:20
150,Rifflsee,Europe, Austria,1640,2800,19.0,4.0,10.0,5.0,,6.0,40.0, 2021-12-11,2022-04-18, early December,late April, 09:00,16:00
151,Tatranská Lomnica,Europe, Slovakia,888,2190,11.8,5.4,5.2,1.2,0.4,8.0,49.0, 2021-11-27,2022-04-24, early December,early April, 08:30,15:30
152,Werfenweng,Europe, Austria,902,1834,29.0,13.0,15.0,1.0,,9.0,44.0, 2021-12-04,2022-04-18, depending on snow conditions,late March, 08:30,16:00
153,Bormio   Cima Bianca,Europe, Italia,1225,3012,50.0,14.0,34.0,2.0,,11.0,44.0, 2021-11-27,2022-04-24, early December,mid April, 08:30,17:00
154,Belalp   Blatten,Europe, Switzerland,1322,3118,60.0,20.0,20.0,20.0,9.0,11.0,54.0, 2021-12-11,2022-04-18, mid December,late March, 09:00,16:00
155,Walmendingerhorn/Heuberg   Mittelberg/Hirschegg,Europe, Austria,1070,1946,33.7,19.5,11.9,2.3,4.6,14.0,52.5, 2021-12-17,2022-04-18, early December,early April, 08:30,16:00
156,Piau Engaly,Europe, France,1408,2528,65.0,35.0,22.0,8.0,,11.0,38.5, 2021-12-11,2022-04-17, early December,mid March, 09:00,17:00
157,Grächen,Europe, Switzerland,1619,2864,44.0,9.0,33.0,2.0,,11.0,52.0, 2021-12-18,2022-04-18, mid December,late May, 08:30,16:00
158,Lavarone,Europe, Italia,1174,1600,30.4,22.4,6.0,2.0,,8.0,37.0, 2021-12-04,2022-03-27, early December,mid March, 09:00,16:30
159,Riksgränsen,Europe, Sweeden,520,909,21.0,10.0,10.0,1.0,,6.0,40.0, 2022-02-25,2022-05-22, late February,early April, 09:00,16:00
160,Muttereralm   Mutters/Götzens,Europe, Austria,920,1800,16.0,7.0,8.0,1.0,,4.0,38.5, 2021-12-11,2022-03-27, mid December,mid April, 09:00,16:00
161,Wurzeralm   Spital am Pyhrn,Europe, Austria,810,1870,22.5,10.5,10.0,2.0,,8.0,48.0, 2021-12-04,2022-04-03, early December,mid April, 08:30,16:30
